	sequences per sample	iteration	515rcbc12	515rcbc21	515rcbc17	515rcbc34	515rcbc33	515rcbc31	515rcbc20	515rcbc15	515rcbc26	515rcbc22	515rcbc37	515rcbc24	515rcbc18	515rcbc35	515rcbc11	515rcbc27	515rcbc30	515rcbc13	515rcbc9	515rcbc28	515rcbc23	515rcbc32	515rcbc16	515rcbc19	515rcbc29	515rcbc14	515rcbc10	515rcbc8	515rcbc25	515rcbc36
alpha_rarefaction_376_1.txt	376	1	47.27096	47.18976	44.20223	43.52184	43.24266	43.9382	46.66759	42.77152	45.15358	44.63042	47.66073	43.13829	48.87265	41.49018	43.83759	45.12469	42.26899	45.95386	45.93708	44.46603	45.56288	43.49561	46.22379	46.1506	44.97916	44.11869	42.92594	45.63485	41.0919	38.503
alpha_rarefaction_376_2.txt	376	2	52.43624	47.07731	41.75298	46.04579	43.31262	42.99649	43.59185	45.15079	46.54673	44.42017	48.52283	46.06943	46.53515	40.04338	47.1709	46.31705	43.71269	45.04004	42.41798	42.13439	46.3844	43.22314	43.8518	47.52697	45.6753	43.77053	43.67717	45.93724	41.94394	38.04314
alpha_rarefaction_376_3.txt	376	3	47.60557	45.83271	43.31574	45.53241	46.46184	46.35643	46.46082	43.60587	42.58879	44.93858	49.27248	45.9628	45.86841	44.99759	43.69706	43.28307	41.21824	44.59954	43.60199	41.48276	46.72019	43.09679	44.85852	49.97818	43.02551	48.43554	43.0743	42.21023	41.78092	35.71875
alpha_rarefaction_376_4.txt	376	4	50.91188	45.99468	42.29941	43.39469	40.40776	47.39805	43.38326	44.44537	44.40754	44.93414	46.02126	43.28004	48.34773	39.54379	41.64931	45.22908	45.3531	44.70728	42.45446	48.18278	43.18893	41.61092	45.64311	45.48358	45.2161	46.85693	42.35718	44.78835	40.16975	37.75423
alpha_rarefaction_376_5.txt	376	5	50.15397	47.83545	46.8019	42.84674	43.3396	42.01853	46.80383	43.61793	44.90416	49.0715	48.5818	41.34494	45.74157	41.54934	43.24742	45.7276	40.28786	43.91411	45.16395	45.0631	48.19745	40.99839	43.52808	45.78913	46.31119	48.19174	47.03639	45.79294	41.13303	33.18587
alpha_rarefaction_376_6.txt	376	6	48.02373	46.12526	44.67726	48.07934	44.72964	42.59009	46.13045	42.6018	42.9975	45.57177	47.65974	46.49646	47.67598	39.44814	44.22146	45.10924	44.53658	45.8741	43.34784	45.39913	46.23575	42.85168	43.50045	48.66778	50.0392	48.62872	43.33021	43.69292	42.70904	38.15956
alpha_rarefaction_376_7.txt	376	7	48.45454	47.63689	46.74032	43.1441	40.86554	43.70051	43.26749	43.32334	44.42121	43.90632	47.67841	45.70485	47.13871	41.12799	43.27335	46.49509	41.48605	45.34795	43.24054	45.48112	49.42763	43.29708	41.76488	49.33442	45.21982	44.95443	44.00609	44.11092	40.09249	38.9333
alpha_rarefaction_376_8.txt	376	8	48.22182	45.91143	42.24976	44.8096	44.61148	43.2401	44.98471	43.71244	42.79096	45.6631	46.31468	41.21208	47.31819	40.43494	42.72157	46.16284	45.09885	43.53766	45.39458	41.2308	44.97169	45.35551	43.89984	48.31245	46.77999	46.80967	45.42075	45.13447	40.76741	38.98675
alpha_rarefaction_376_9.txt	376	9	49.46439	45.86528	41.22242	42.31168	43.0027	44.47748	45.55342	44.94739	42.74131	44.52149	46.7576	44.28076	51.16355	39.64509	44.45517	46.33196	42.36742	45.62521	43.76101	47.12657	47.51006	38.98936	44.03372	43.30578	45.07927	48.34514	42.23298	42.03041	40.35397	40.71481
alpha_rarefaction_437_0.txt	437	0	55.01636	46.16957	44.7569	50.77073	47.96007	47.38323	48.52109	48.21868	47.90996	48.7377	46.53814	47.1898	50.59628	46.13479	47.76923	48.83213	44.2375	49.85185	48.84676	50.21256	50.11405	44.99931	45.25988	47.5707	49.02617	50.39253	46.16891	44.38126	46.07027	42.51954
alpha_rarefaction_437_1.txt	437	1	52.92597	50.24144	46.96995	44.92918	47.07799	45.50585	49.35326	45.03537	46.72248	46.47357	48.99981	45.70474	48.5785	43.1464	50.60899	49.11737	44.50577	51.08896	48.59328	49.27564	50.09661	46.42058	48.88487	52.84067	48.89643	47.55601	48.20828	45.11866	46.26928	40.07436
alpha_rarefaction_437_2.txt	437	2	49.91593	47.11693	52.09085	47.85708	46.80166	46.12207	47.88368	46.62125	48.4868	48.60029	47.30076	50.5747	51.09192	43.47686	48.17856	48.86906	49.72798	47.08402	50.46891	45.54324	50.0873	45.7282	44.83712	49.87969	50.06584	48.78021	47.21385	49.91821	43.82992	39.86345
alpha_rarefaction_437_3.txt	437	3	51.02591	49.51564	48.60241	49.47626	52.12589	47.98938	49.02416	48.02668	46.77786	48.41761	50.70625	52.48774	50.91181	43.89132	46.18192	48.39552	47.81205	49.35785	48.59806	50.78475	48.67906	49.92139	47.06682	51.77371	48.86644	49.33879	46.20418	44.17516	49.92904	41.87612
alpha_rarefaction_437_4.txt	437	4	51.90115	52.94867	49.17993	50.47681	45.36119	48.04307	49.607	47.27905	49.81997	50.11892	51.67674	48.03332	49.18072	44.21394	44.92715	49.71	49.88212	49.36164	50.94708	45.84613	50.58646	44.55004	45.24464	52.18174	49.31957	50.64138	48.54175	47.93443	42.76442	38.50451
